date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:03	45838/45838	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:46%20GMT	https://html.iwthemes.com/sportscup/run/results.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/results.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:04	109695/109695	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:48%20GMT	https://html.iwthemes.com/sportscup/run/single-team.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/single-team.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:04	64878/64878	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:48%20GMT	https://html.iwthemes.com/sportscup/run/single-player.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/single-player.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:04	56040/56040	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:46%20GMT	https://html.iwthemes.com/sportscup/run/single-result.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/single-result.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:05	37944/37944	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/page-full-width.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-full-width.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:05	40099/40099	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/page-left-sidebar.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-left-sidebar.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:05	40101/40101	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:44%20GMT	https://html.iwthemes.com/sportscup/run/page-right-sidebar.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-right-sidebar.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:05	32775/32775	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/page-404.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-404.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:06	40211/40211	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/page-faq.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-faq.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:06	40768/40768	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:48%20GMT	https://html.iwthemes.com/sportscup/run/sitemap.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/sitemap.html	(from https://html.iwthemes.com/sportscup/run/index.html)
